yyyymmdd,Mkt-RF,SMB,HML,RF
7/9/2019,0.18,-0.16,-0.45,0.009
7/10/2019,0.4,-0.16,-0.39,0.009
7/11/2019,0.19,-0.8,0.05,0.009
7/12/2019,0.53,0.2,0.4,0.009
7/15/2019,-0.04,-0.38,-1.01,0.009
7/16/2019,-0.32,0.34,0.13,0.009
7/17/2019,-0.64,-0.15,-0.65,0.009
7/18/2019,0.35,-0.32,0,0.009
7/19/2019,-0.56,0.15,0.87,0.009
7/22/2019,0.25,-0.44,-0.49,0.009
7/23/2019,0.65,-0.21,0.79,0.009
7/24/2019,0.66,0.75,0.83,0.009
7/25/2019,-0.63,-0.69,-0.19,0.009
7/26/2019,0.82,0.4,-0.2,0.009
7/29/2019,-0.32,-0.32,-0.44,0.009
7/30/2019,-0.17,1.32,0.84,0.009
7/31/2019,-1.09,0.12,0.6,0.009
8/1/2019,-1.04,-0.48,-1.86,0.007
8/2/2019,-0.87,-0.32,0.06,0.007
8/5/2019,-3.07,-0.03,0.01,0.007
8/6/2019,1.29,-0.43,-0.55,0.007
8/7/2019,0.07,0.09,-0.9,0.007
8/8/2019,1.97,0.09,-0.33,0.007
8/9/2019,-0.78,-0.42,-0.25,0.007
8/12/2019,-1.32,0.28,-0.28,0.007
8/13/2019,1.47,-0.15,-0.54,0.007
8/14/2019,-2.95,0.21,-0.5,0.007
8/15/2019,0.16,-0.62,-0.53,0.007
8/16/2019,1.55,0.54,0.61,0.007
8/19/2019,1.14,0,0.24,0.007
8/20/2019,-0.75,0.3,-0.5,0.007
8/21/2019,0.85,0.07,-0.34,0.007
8/22/2019,-0.1,-0.55,0.49,0.007
8/23/2019,-2.66,-0.56,-0.18,0.007
8/26/2019,1.08,-0.02,-0.19,0.007
8/27/2019,-0.46,-0.88,-0.68,0.007
8/28/2019,0.68,0.48,0.62,0.007
8/29/2019,1.35,0.32,0.33,0.007
8/30/2019,0.03,-0.38,0.25,0.007
9/3/2019,-0.87,-0.96,0.1,0.009
9/4/2019,1.08,-0.23,0.42,0.009
9/5/2019,1.42,0.4,0.69,0.009
9/6/2019,-0.02,-0.37,0.05,0.009
9/9/2019,0.08,0.72,3.07,0.009
9/10/2019,0.17,1.02,1.2,0.009
9/11/2019,0.88,1.33,-0.04,0.009
9/12/2019,0.22,-0.3,-0.17,0.009
9/13/2019,-0.01,0,0.75,0.009
9/16/2019,-0.23,0.93,0.5,0.009
9/17/2019,0.17,-0.6,-1.22,0.009
9/18/2019,-0.05,-0.74,0.06,0.009
9/19/2019,-0.05,-0.43,-0.45,0.009
9/20/2019,-0.48,0.3,0.16,0.009
9/23/2019,-0.02,-0.18,0.51,0.009
9/24/2019,-1.01,-0.75,0.02,0.009
9/25/2019,0.69,0.36,0.53,0.009
9/26/2019,-0.41,-0.97,0.12,0.009
9/27/2019,-0.62,-0.36,0.88,0.009
9/30/2019,0.5,-0.15,-0.48,0.009
10/1/2019,-1.31,-0.47,-0.61,0.007
10/2/2019,-1.73,0.87,-0.35,0.007
10/3/2019,0.8,-0.2,-0.91,0.007
10/4/2019,1.39,-0.49,-0.09,0.007
10/7/2019,-0.41,0.16,-0.02,0.007
10/8/2019,-1.61,-0.14,-0.12,0.007
10/9/2019,0.92,-0.53,-0.12,0.007
10/10/2019,0.59,-0.4,0.27,0.007
10/11/2019,1.23,0.49,0.19,0.007
10/14/2019,-0.18,-0.33,-0.06,0.007
10/15/2019,1.03,0.26,-0.23,0.007
10/16/2019,-0.24,0.39,0.23,0.007
10/17/2019,0.37,0.81,-0.28,0.007
10/18/2019,-0.49,-0.38,0.9,0.007
10/21/2019,0.71,0.18,0.33,0.007
10/22/2019,-0.34,0.21,0.88,0.007
10/23/2019,0.26,-0.09,0.25,0.007
10/24/2019,0.26,-0.26,-0.91,0.007
10/25/2019,0.5,0.28,0.08,0.007
10/28/2019,0.62,0.27,-0.25,0.007
10/29/2019,-0.13,0.28,0.46,0.007
10/30/2019,0.27,-0.39,-1.17,0.007
10/31/2019,-0.38,-0.27,-0.31,0.007
11/1/2019,1.08,0.45,0.79,0.006
11/4/2019,0.4,0.05,1.39,0.006
11/5/2019,-0.03,0.24,0.49,0.006
